Rg,Spieler,Land,Pos,Verein,Alt,Geboren,90,SCA,SCA-90,AktivPass,ToterPass,Dribb.,Sc,Gef,Vert.,GCA,GCA-90,AktivPass,ToterPass,Dribb.,Sc,Gef,Vert.,ET,Spiele
433,Jordan Torunarigha\Jordan-Torunarigha,de GER,DF,Hertha BSC,23-193,1997,7.5,3,040,3,0,0,0,0,0,0,000,0,0,0,0,0,0,0,Spiele
434,Almamy Touré\Almamy-Toure,ml MLI,DF,Eint Frankfurt,24-294,1996,6.6,22,333,18,1,1,0,0,2,2,030,2,0,0,0,0,0,0,Spiele
435,Lucas Tousart\Lucas-Tousart,fr FRA,MF,Hertha BSC,23-293,1997,14.8,19,129,14,0,0,4,1,0,3,020,3,0,0,0,0,0,0,Spiele
436,Ibrahima Traoré\Ibrahima-Traore,gn GUI,FW,M'Gladbach,32-301,1988,0.9,1,107,1,0,0,0,0,0,0,000,0,0,0,0,0,0,0,Spiele
437,Kevin Trapp\Kevin-Trapp,de GER,TW,Eint Frankfurt,30-223,1990,21.0,1,005,1,0,0,0,0,0,0,000,0,0,0,0,0,0,0,Spiele
438,Christopher Trimmel\Christopher-Trimmel,at AUT,DF,Union Berlin,33-358,1987,17.1,42,246,24,18,0,0,0,0,6,035,3,3,0,0,0,0,0,Spiele
439,Tuta\Tuta,br BRA,DF,Eint Frankfurt,21-227,1999,7.3,5,068,4,1,0,0,0,0,1,014,0,1,0,0,0,0,0,Spiele
440,Dayot Upamecano\Dayot-Upamecano,fr FRA,DF,RB Leipzig,22-112,1998,17.8,12,068,11,0,0,1,0,0,1,006,0,0,0,1,0,0,0,Spiele
441,Mark Uth\Mark-Uth,de GER,FWMF,Schalke 04,29-176,1991,14.4,40,279,17,11,2,4,3,3,4,028,2,0,0,0,1,1,0,Spiele
442,Ruben Vargas\Ruben-Vargas,ch SUI,MFFW,Augsburg,22-195,1998,12.0,21,175,16,0,1,1,3,0,2,017,2,0,0,0,0,0,0,Spiele
443,Miloš Veljkovi?\Milos-Veljkovic,rs SRB,DF,Werder Bremen,25-143,1995,11.0,3,027,3,0,0,0,0,0,0,000,0,0,0,0,0,0,0,Spiele
444,Michel Vlap\Michel-Vlap,nl NED,MF,Arminia,23-259,1997,0.7,,,,,,,,,,,,,,,,,,Spiele
445,Andreas Voglsammer\Andreas-Voglsammer,de GER,MF,Arminia,29-038,1992,1.2,0,000,0,0,0,0,0,0,0,000,0,0,0,0,0,0,0,Spiele
446,Kevin Vogt\Kevin-Vogt,de GER,DF,Hoffenheim,29-146,1991,16.5,9,054,8,0,1,0,0,0,2,012,1,0,1,0,0,0,0,Spiele
447,Silas Wamangituka\Silas-Wamangituka,cd COD,DFFW,Stuttgart,21-133,1999,17.1,52,304,33,0,6,7,3,3,8,047,4,0,1,1,0,2,0,Spiele
448,Wout Weghorst\Wout-Weghorst,nl NED,FW,Wolfsburg,28-193,1992,19.9,34,171,27,0,0,5,2,0,4,020,2,0,0,2,0,0,0,Spiele
449,Mitchell Weiser\Mitchell-Weiser,de GER,DF,Leverkusen,26-301,1994,2.5,2,080,1,0,0,1,0,0,1,040,0,0,0,1,0,0,0,Spiele
450,Wendell\Wendell,br BRA,DF,Leverkusen,27-211,1993,5.9,5,085,5,0,0,0,0,0,1,017,1,0,0,0,0,0,0,Spiele
451,Oscar Wendt\Oscar-Wendt,se SWE,DF,M'Gladbach,35-115,1985,10.5,10,095,7,3,0,0,0,0,0,000,0,0,0,0,0,0,0,Spiele
452,William\William,br BRA,FW,Wolfsburg,25-319,1995,0.0,0,000,0,0,0,0,0,0,0,000,0,0,0,0,0,0,0,Spiele
453,William\William,br BRA,DFFW,Schalke 04,25-319,1995,1.9,0,000,0,0,0,0,0,0,0,000,0,0,0,0,0,0,0,Spiele
454,Florian Wirtz\Florian-Wirtz,de GER,MF,Leverkusen,17-289,2003,16.7,57,342,46,0,6,2,2,1,8,048,7,0,1,0,0,0,0,Spiele
455,Axel Witsel\Axel-Witsel,be BEL,MF,Dortmund,32-035,1989,12.6,19,151,17,0,0,2,0,0,1,008,1,0,0,0,0,0,0,Spiele
456,Hannes Wolf\Hannes-Wolf,at AUT,FWMF,M'Gladbach,21-306,1999,9.8,19,193,18,0,0,0,1,0,3,030,2,0,0,0,1,0,0,Spiele
457,Marius Wolf\Marius-Wolf,de GER,DFMF,Köln,25-265,1995,17.2,29,169,18,0,5,3,3,0,6,035,4,0,0,1,1,0,0,Spiele
458,Nick Woltemade\Nick-Woltemade,de GER,MFFW,Werder Bremen,19-002,2002,1.6,5,306,3,0,0,1,1,0,1,061,1,0,0,0,0,0,0,Spiele
459,Jeong Woo-yeong\Jeong-Woo-yeong,kr KOR,FWMF,Freiburg,21-149,1999,6.3,16,254,14,0,0,2,0,0,1,016,1,0,0,0,0,0,0,Spiele
460,Joscha Wosz\Joscha-Wosz,de GER,DFFW,RB Leipzig,18-211,2002,0.4,1,265,1,0,0,0,0,0,0,000,0,0,0,0,0,0,0,Spiele
461,Reinhold Yabo\Reinhold-Yabo,de GER,MFFW,Arminia,29-006,1992,7.2,7,097,5,0,0,0,2,0,0,000,0,0,0,0,0,0,0,Spiele
462,Amin Younes\Amin-Younes,de GER,FWMF,Eint Frankfurt,27-194,1993,9.7,36,371,23,4,4,1,4,0,4,041,2,0,2,0,0,0,0,Spiele
463,Dan-Axel Zagadou\Dan-Axel-Zagadou,fr FRA,DF,Dortmund,21-258,1999,1.9,0,000,0,0,0,0,0,0,0,000,0,0,0,0,0,0,0,Spiele
464,Denis Zakaria\Denis-Zakaria,ch SUI,MFDF,M'Gladbach,24-088,1996,7.5,5,067,4,0,0,1,0,0,0,000,0,0,0,0,0,0,0,Spiele
465,Deyovaisio Zeefuik\Deyovaisio-Zeefuik,nl NED,DFMF,Hertha BSC,22-342,1998,3.9,8,205,7,0,1,0,0,0,0,000,0,0,0,0,0,0,0,Spiele
466,Robin Zentner\Robin-Zentner,de GER,TW,Mainz 05,26-111,1994,20.0,2,010,0,1,0,1,0,0,0,000,0,0,0,0,0,0,0,Spiele
467,Ron-Robert Zieler\Ron-Robert-Zieler,de GER,TW,Köln,32-004,1989,0.6,0,000,0,0,0,0,0,0,0,000,0,0,0,0,0,0,0,Spiele
468,Joshua Zirkzee\Joshua-Zirkzee,nl NED,FW,Bayern Munich,19-270,2001,1.0,2,196,2,0,0,0,0,0,0,000,0,0,0,0,0,0,0,Spiele
469,Steven Zuber\Steven-Zuber,ch SUI,DF,Eint Frankfurt,29-183,1991,5.2,15,289,14,0,0,0,0,1,2,039,2,0,0,0,0,0,0,Spiele
