Rg,Spieler,Land,Pos,Verein,Alt,Geboren,90,SCA,SCA-90,AktivPass,ToterPass,Dribb.,Sc,Gef,Vert.,GCA,GCA-90,AktivPass,ToterPass,Dribb.,Sc,Gef,Vert.,ET,Spiele
345,Marin Pongra?i?\Marin-Pongracic,hr CRO,DF,Wolfsburg,23-158,1997,3.0,1,033,1,0,0,0,0,0,0,000,0,0,0,0,0,0,0,Spiele
346,Stefan Posch\Stefan-Posch,at AUT,DF,Hoffenheim,23-278,1997,15.9,17,107,16,0,0,1,0,0,1,006,1,0,0,0,0,0,0,Spiele
347,Yussuf Poulsen\Yussuf-Poulsen,dk DEN,FW,RB Leipzig,26-246,1994,9.7,26,268,19,0,1,2,3,1,5,052,3,0,1,0,1,0,0,Spiele
348,Manuel Prietl\Manuel-Prietl,at AUT,MF,Arminia,29-197,1991,14.0,8,062,6,0,0,0,0,2,2,015,2,0,0,0,0,0,0,Spiele
349,Grischa Prömel\Grischa-Promel,de GER,MF,Union Berlin,26-038,1995,12.1,27,223,17,0,1,2,4,3,2,017,0,0,0,1,1,0,0,Spiele
350,Robin Quaison\Robin-Quaison,se SWE,FWMF,Mainz 05,27-130,1993,13.0,28,215,18,0,4,2,2,2,4,031,2,0,0,2,0,0,0,Spiele
351,Nemanja Radonji?\Nemanja-Radonjic,rs SRB,MFFW,Hertha BSC,25-001,1996,0.7,4,590,4,0,0,0,0,0,0,000,0,0,0,0,0,0,0,Spiele
352,Benito Raman\Benito-Raman,be BEL,FWMF,Schalke 04,26-101,1994,10.5,24,228,19,0,2,2,1,0,0,000,0,0,0,0,0,0,0,Spiele
353,Milot Rashica\Milot-Rashica,xk KVX,FWMF,Werder Bremen,24-233,1996,5.2,9,172,6,0,2,1,0,0,1,019,1,0,0,0,0,0,0,Spiele
354,Daishawn Redan\Daishawn-Redan,nl NED,MFFW,Hertha BSC,20-014,2001,0.8,1,129,1,0,0,0,0,0,0,000,0,0,0,0,0,0,0,Spiele
355,Reinier\Reinier,br BRA,MFFW,Dortmund,19-028,2002,1.1,2,189,1,0,0,0,1,0,0,000,0,0,0,0,0,0,0,Spiele
356,Rocco Reitz\Rocco-Reitz,de GER,MF,M'Gladbach,18-263,2002,0.7,3,458,3,0,0,0,0,0,0,000,0,0,0,0,0,0,0,Spiele
